STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WT01,WT02,WT03,WT04,WT06,WT08
USW00094728,"NY CITY CENTRAL PARK, NY US",2/26/2016,8.72,0,0,0,,39,27,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2/27/2016,6.04,0,0,0,,41,26,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2/28/2016,7.38,0,0,0,,60,38,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2/29/2016,8.5,0.05,0,0,,61,47,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",3/1/2016,7.61,0,0,0,,52,39,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",3/2/2016,10.51,0.14,0,0,,55,29,1,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",3/3/2016,5.82,0,0,0,,36,26,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",3/4/2016,8.72,0.11,0.4,0,,39,30,1,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",3/5/2016,4.25,0,0,0,,41,28,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",3/6/2016,3.36,0,0,0,,44,32,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",3/7/2016,7.83,0,0,0,,60,36,,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",3/8/2016,3.36,0,0,0,,67,47,,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",3/9/2016,2.24,0,0,0,,77,44,,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",3/10/2016,4.92,0,0,0,,79,63,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",3/11/2016,6.04,0.06,0,0,,68,48,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",3/12/2016,5.14,0,0,0,,59,40,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",3/13/2016,3.58,0,0,0,,62,50,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",3/14/2016,14.09,0.29,0,0,,51,40,1,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",3/15/2016,5.37,0,0,0,,57,44,1,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",3/16/2016,3.58,0.02,0,0,,65,48,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",3/17/2016,4.92,0,0,0,,63,45,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",3/18/2016,8.72,0,0,0,,57,42,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",3/19/2016,5.14,0,0,0,,46,36,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",3/20/2016,9.62,0.07,0,0,,43,32,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",3/21/2016,8.05,0.06,0.5,0,,50,32,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",3/22/2016,6.93,0,0,0,,56,35,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",3/23/2016,6.04,0,0,0,,71,48,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",3/24/2016,9.17,0,0,0,,55,44,1,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",3/25/2016,3.8,0.04,0,0,,72,44,1,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",3/26/2016,6.49,0,0,0,,55,38,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",3/27/2016,5.59,0,0,0,,55,43,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",3/28/2016,10.07,0.38,0,0,,62,42,1,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",3/29/2016,11.63,0,0,0,,53,40,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",3/30/2016,5.37,0,0,0,,56,37,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",3/31/2016,6.71,0,0,0,,73,49,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/1/2016,6.71,0.02,0,0,,79,61,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/2/2016,4.92,0.16,0,0,,61,49,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/3/2016,12.75,0.09,0,0,,50,34,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/4/2016,7.16,0.47,0,0,,45,29,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/5/2016,8.28,0,0,0,,43,26,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/6/2016,6.04,0,0,0,,48,30,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/7/2016,6.93,0.09,0,0,,58,48,,,,,,
