Country,Year,HappinessScore,LifeLadder,LogGDP,SocialSupport,HealthyLifeExpectancyAtBirth,FreedomToMakeLifeChoices,Generosity,PerceptionsOfCorruption,PositiveAffect,NegativeAffect,ConfidenceInNationalGovernment
Afghanistan,2018,3.203,2.69430327415466,7.49458789825439,0.507515847682953,52.5999984741211,0.373535543680191,-0.084887877106667,0.92760568857193,0.42412531375885,0.404904395341873,0.364666402339935
Albania,2018,4.719,5.00440263748169,9.41239929199219,0.683591663837433,68.6999969482422,0.824212312698364,0.005384950898588,0.899129390716553,0.713299572467804,0.318996727466583,0.435337960720062
Algeria,2018,5.211,5.04308605194092,9.55795192718506,0.798651337623596,65.9000015258789,0.583380579948425,-0.172413006424904,0.758704125881195,0.591042935848236,0.292945563793182,
Argentina,2018,6.086,5.79279661178589,9.80997180938721,0.89991158246994,68.8000030517578,0.845894694328308,-0.206936627626419,0.855255246162415,0.820309698581696,0.320502072572708,0.261352270841598
Armenia,2018,4.559,5.06244850158691,9.11942386627197,0.814449012279511,66.9000015258789,0.80764365196228,-0.149108693003654,0.676826357841492,0.581487715244293,0.454840272665024,0.670827627182007
Australia,2018,7.228,7.17699337005615,10.7210206985474,0.940137267112732,73.5999984741211,0.916028141975403,0.137795403599739,0.404647499322891,0.759018838405609,0.187456369400024,0.46883687376976
Austria,2018,7.246,7.3960018157959,10.7418928146362,0.911668121814728,73,0.904111981391907,0.051552332937718,0.52306056022644,0.752350389957428,0.226058796048164,0.488678723573685
Azerbaijan,2018,5.208,5.16799545288086,9.67801380157471,0.781229913234711,65.5,0.772449254989624,-0.251795291900635,0.56120628118515,0.592575371265411,0.191391661763191,0.83437192440033
Bangladesh,2018,4.456,4.49921703338623,8.22074604034424,0.705556035041809,64.3000030517578,0.901470839977264,-0.038008335977793,0.701421201229095,0.541344702243805,0.361237794160843,0.831693112850189
Belarus,2018,5.323,5.23376989364624,9.7787389755249,0.904569268226624,66.0999984741211,0.64360237121582,-0.181864842772484,0.718455493450165,0.450332850217819,0.235728621482849,0.421278685331345
Belgium,2018,6.923,6.89217185974121,10.6724452972412,0.929815530776978,72,0.808386623859406,-0.127278342843056,0.630411803722382,0.749562740325928,0.250297337770462,0.441944539546967
Benin,2018,4.883,5.81982707977295,7.66390705108643,0.5035440325737,54.2999992370605,0.713264048099518,0.024661164730787,0.746510744094849,0.646655142307282,0.467871814966202,0.639219760894775
Bolivia,2018,5.779,5.91573429107666,8.86053085327148,0.827159464359283,63.5999984741211,0.863246858119965,-0.08756835013628,0.786044597625732,0.741972625255585,0.387468874454498,0.399588227272034
Bosnia and Herzegovina,2018,5.386,5.88740110397339,9.40272617340088,0.835889577865601,67.8000030517578,0.658846437931061,0.124626904726028,0.9128577709198,0.642939507961273,0.277365058660507,0.254097163677216
Botswana,2018,3.488,3.46136569976807,9.68022632598877,0.794936001300812,58.9000015258789,0.817621111869812,-0.259084016084671,0.806945443153381,0.729643225669861,0.267083704471588,0.718788146972656
Brazil,2018,6.3,6.19092178344727,9.55793285369873,0.881505250930786,66.4000015258789,0.750609040260315,-0.126326516270638,0.763251304626465,0.749727845191956,0.349656254053116,0.168186649680138
